Medication_Name,Package_Size, Manufacturing_Cost , Max_Retailer_Price , Max_Consumer_Price , Max_Consumer_VAT_Price ,Year
MEMOX 10MG 56TAB,56, $13.11 , $32.77 , $40.96 , $47.93 ,2021
MEMOX 20MG 28 F.C.TAB,28, $12.37 , $30.93 , $38.66 , $45.24 ,2021
MENOGON 10AMP+10SOLV,10, $145.06 , $362.66 , $426.12 , $498.56 ,2021
MENOPUR INJ 75IU /1ML 10AMP,10, $80.07 , $200.17 , $235.20 , $275.18 ,2021
MENOPUR MULTIDOSE 1200 IU 1VIAL,1, $146.84 , $367.09 , $431.33 , $504.66 ,2021
MENOPUR MULTIDOSE 600 IU 1VIAL,1, $69.96 , $174.90 , $205.51 , $240.44 ,2021
MENVEO POWDER AND SOLVENT FOR SOL FOR INJ VIAL 2ML,1, $17.63 , $44.07 , $55.08 , $64.45 ,2021
MEPACT 4MG/ML VIAL 50ML,1," $1,385.62 "," $3,464.06 "," $3,810.46 "," $4,458.24 ",2021
MERCAPTIZOL 20MG 30TAB,30, $1.46 , $3.66 , $5.01 , $5.87 ,2021
MERCILON 1X21TAB,21, $1.45 , $3.62 , $4.96 , $5.80 ,2021
MERCILON 3X21,63, $4.34 , $10.85 , $14.87 , $17.40 ,2021
MERO AVENIR  0.5G  10VIAL,10, $41.80 , $104.49 , $122.77 , $143.65 ,2021
MEROAVENIR  1G  10VIALS,10, $85.93 , $214.83 , $252.42 , $295.34 ,2021
MERONEM 1G 10VIAL POWDER FOR SOL. FOR INJ.,10, $85.93 , $214.83 , $252.42 , $295.34 ,2021
MERONEM 500MG 10VIAL POWDER FOR SOL. FOR INJ.,10, $41.80 , $104.49 , $122.77 , $143.65 ,2021
MEROPENEM / ANFARM 1 G,10, $85.93 , $214.83 , $252.42 , $295.34 ,2021
MEROPENEM / ANFARM 500 MG,10, $41.80 , $104.49 , $122.77 , $143.65 ,2021
MESNA-CELL 400MG/4ML 10AMPOULES,10, $10.50 , $26.24 , $35.30 , $41.30 ,2021
MESTINON 60MG 20DRAG,20, $1.76 , $4.40 , $6.03 , $7.05 ,2021
MESULID 100MG 30CAPLETS,30, $1.45 , $3.62 , $4.96 , $5.80 ,2021
METFORMIN INOVAMED 850MG 30 TAB,30, $1.15 , $2.88 , $3.95 , $4.62 ,2021
METFORMIN TEVA 850MG 30TAB,30, $1.15 , $2.88 , $3.95 , $4.62 ,2021
"METHOTREXAT ""EBEWE"" 100MG/ML VIAL 5000MG/50ML",50, $92.36 , $230.91 , $271.32 , $317.44 ,2021
METHOTREXAT EBEWE 2.5MG 50TAB,50, $3.08 , $7.71 , $10.56 , $12.35 ,2021
METHYLPREDNISOLONE MYLAN 1 G 10 VIALS,10, $105.90 , $264.74 , $311.07 , $363.95 ,2021
METHYLPREDNISOLONE MYLAN 500MG 10 VIALS,10, $91.67 , $229.17 , $269.28 , $315.06 ,2021
METOCLOPRAMIDE S.A.L.F  MG/2 ML,5, $1.15 , $2.88 , $3.95 , $4.62 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 10MG/0.2ML,1, $7.07 , $17.69 , $23.79 , $27.83 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 12.5MG/0.25ML,1, $6.81 , $17.02 , $22.89 , $26.78 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 15MG/0.3ML,1, $8.25 , $20.62 , $27.74 , $32.45 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 17.5MG/0.35ML,1, $9.53 , $23.82 , $32.04 , $37.49 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 20MG/0.4ML,1, $10.19 , $25.49 , $34.28 , $40.11 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 22.5MG/0.45ML,1, $11.23 , $28.07 , $37.76 , $44.18 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 25MG/0.5ML,1, $11.33 , $28.33 , $38.10 , $44.58 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 27.5MG/0.55ML,1, $11.80 , $29.49 , $36.87 , $43.13 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 30MG/0.6ML,1, $11.99 , $29.97 , $37.46 , $43.82 ,2021
METOJECT 50MG/ML SYRINGE PREFILLED 7.5MG/0.15ML,1, $5.57 , $13.93 , $18.74 , $21.93 ,2021
METOPIRONE 250MG 50CAPS,50, $108.65 , $271.63 , $319.16 , $373.42 ,2021
MICRODIOL 1X21TAB,21, $1.32 , $3.29 , $4.51 , $5.27 ,2021
MICRODIOL 3X21TAB,63, $3.74 , $9.35 , $12.80 , $14.98 ,2021
MICROGYNON 3X21TAB,63, $1.99 , $4.98 , $6.83 , $7.99 ,2021
MICROLUT 0.03 MG 1x35 TABLETS,35, $1.30 , $3.26 , $4.47 , $5.23 ,2021
MIDOLAM 1MG/MLx5ML 5AMP,5, $1.27 , $3.18 , $4.36 , $5.10 ,2021
MIDOLAM 5MG/ML5AMPx10ML,5, $6.24 , $15.60 , $20.98 , $24.55 ,2021
MIDOLAM 5MG/ML5AMPx3ML,5, $1.78 , $4.46 , $6.11 , $7.15 ,2021
MIDRO TEA 80GR,80, $1.24 , $3.10 , $4.25 , $4.97 ,2021
MIFEGYNE 200 MG 3TAB,3, $24.65 , $61.61 , $72.40 , $84.70 ,2021
MIFLONIDE PWDR INH 200MCG 60CAPS,60, $2.28 , $5.70 , $7.80 , $9.13 ,2021
MIFLONIDE PWDR INH 400MCG 60CAPS,60, $4.49 , $11.23 , $15.39 , $18.00 ,2021
MIGRALEVE 24TAB,24, $3.49 , $8.73 , $11.96 , $13.99 ,2021
MIMPARA 30MG 28TAB,28, $86.01 , $215.02 , $252.64 , $295.59 ,2021
MIMPARA 60MG 28TAB,28, $161.35 , $403.36 , $473.95 , $554.52 ,2021
MIMPARA 90MG 28TAB,28, $237.90 , $594.75 , $654.22 , $765.44 ,2021
MINESSE 28TAB,28, $2.69 , $6.73 , $9.22 , $10.79 ,2021
MINESSE 84TAB,84, $8.08 , $20.19 , $27.16 , $31.78 ,2021
MINIRIN 0.1MG 30TAB,30, $7.79 , $19.46 , $26.18 , $30.63 ,2021
MINIRIN 0.2MG 30TAB,30, $11.52 , $28.79 , $38.73 , $45.31 ,2021
MINIRIN MELT 120MCG 30TAB,30, $17.43 , $43.57 , $54.46 , $63.72 ,2021
MINIRIN MELT 60MCG 30TAB,30, $9.14 , $22.85 , $30.73 , $35.96 ,2021
MINIRIN SOL 2.5ML,2.5, $4.29 , $10.71 , $14.68 , $17.17 ,2021
MINIRIN SPRAY RTS5ML (50DOSES),50, $8.13 , $20.32 , $27.33 , $31.98 ,2021
MINOCLIN 100MG 10CAPS,10, $1.68 , $4.20 , $5.76 , $6.74 ,2021
MINOCLIN 50MG 30CAP,30, $3.50 , $8.76 , $12.00 , $14.05 ,2021
MINOCYCLIN 100MG 10CAP,10, $1.68 , $4.20 , $5.76 , $6.74 ,2021
MINOCYCLIN 50MG 30CAP,30, $3.50 , $8.76 , $12.00 , $14.05 ,2021
MINULET 1X21TAB,21, $1.73 , $4.33 , $5.93 , $6.94 ,2021
MINULET 3X21TAB,63, $5.19 , $12.99 , $17.47 , $20.44 ,2021
MIRCERA 100MCG/0.3ML PRFILLED  SYRINGE,1, $77.40 , $193.50 , $227.36 , $266.01 ,2021
MIRCERA 150MCG/0.3ML PRFILLED  SYRINGE,1, $116.10 , $290.25 , $341.04 , $399.02 ,2021
MIRCERA 200MCG/0.3ML PRFILLED  SYRINGE,1, $154.50 , $386.25 , $453.84 , $531.00 ,2021
MIRCERA 360MCG/0.6ML PRFILLED  SYRINGE,1, $277.81 , $694.51 , $763.96 , $893.84 ,2021
MIRCERA 50MCG/0.3ML PRFILLED  SYRINGE,1, $38.70 , $96.76 , $113.69 , $133.02 ,2021
MIRCERA 75MCG/0.3ML PRFILLED  SYRINGE,1, $58.05 , $145.12 , $170.52 , $199.51 ,2021
MIRENA,1, $47.21 , $118.03 , $138.69 , $162.27 ,2021
MIRO 30MG 30TAB,30, $3.99 , $9.98 , $13.67 , $15.99 ,2021
MIRO 45MG 30TAB,30, $4.96 , $12.39 , $16.66 , $19.49 ,2021
MIRTAZAPINE TEVA 30MG 30TAB,30, $3.99 , $9.98 , $13.67 , $15.99 ,2021
MIRTAZAPINE TEVA 45MG 30TAB,30, $4.96 , $12.39 , $16.66 , $19.49 ,2021
MISODEL 200 MCG 1 VAGINAL INSERT,1, $50.96 , $127.41 , $149.71 , $175.16 ,2021
MITOMYCIN C 10MG VIAL,1, $8.12 , $20.30 , $27.30 , $31.94 ,2021
"MITOXANTRON ""EBEWE"" 2 MG/ML VIAL 20MG/10ML",1, $63.14 , $157.86 , $185.49 , $217.02 ,2021
MIXTARD 30HM5X3ML PEN,15, $13.10 , $32.75 , $40.93 , $47.89 ,2021
MIZOLLEN 10MG 15 F.C TAB,15, $1.89 , $4.73 , $6.48 , $7.59 ,2021
MODAFINIL MEDOCHEMIE 100 MG 30 TAB,30, $12.65 , $31.62 , $39.53 , $46.25 ,2021
MODAL 50MG 30CAP,30, $1.55 , $3.88 , $5.31 , $6.21 ,2021
MODAL FORTE 200MG 40TAB,40, $2.42 , $6.05 , $8.28 , $9.69 ,2021
MONOCORD 20MG 30TAB,30, $0.74 , $1.86 , $2.55 , $2.98 ,2021
MONOCORD 20MG 60TAB,60, $1.55 , $3.86 , $5.29 , $6.19 ,2021
MONOCORD 40MG 30TAB,30, $1.29 , $3.23 , $4.43 , $5.18 ,2021
MONOCORD 50MG SR 30TAB,30, $3.05 , $7.63 , $10.45 , $12.23 ,2021
MONOLONG 40MG 30 SR CAP,30, $1.74 , $4.35 , $5.95 , $6.97 ,2021
MONOLONG 60MG 30 SR CAP,30, $2.37 , $5.93 , $8.13 , $9.51 ,2021
MONONINE 1000IU/VIAL,1, $232.52 , $581.30 , $639.43 , $748.14 ,2021
MONTAIR 4 MG 30 CHEWTAB,30, $5.83 , $14.57 , $19.59 , $22.92 ,2021
MONTAIR 5 MG 30 CHEWTAB,30, $6.87 , $17.17 , $23.09 , $27.02 ,2021
MONTELUKAST TEVA 10 MG 28TAB,28, $5.50 , $13.74 , $18.49 , $21.63 ,2021
MONTELUKAST TEVA 4 MG 28CHEWABLE TAB,28, $5.44 , $13.59 , $18.28 , $21.39 ,2021
MONTELUKAST TEVA 5 MG 28CHEWABLE TAB,28, $6.41 , $16.02 , $21.55 , $25.21 ,2021
MONTELUKAST-TRIMA 10MG 28TAB,28, $5.50 , $13.74 , $18.49 , $21.63 ,2021
MONTELUKAST-TRIMA 4MG 28 CHEWTAB,28, $5.44 , $13.59 , $18.28 , $21.39 ,2021
MONTELUKAST-TRIMA 5MG 28 CHEWTAB,28, $6.41 , $16.02 , $21.55 , $25.21 ,2021
MONUROL 1SACHET,1, $1.74 , $4.34 , $5.95 , $6.96 ,2021
MORPHINE 1MG/ML 5ML 5 AMP,5, $13.23 , $33.09 , $41.36 , $48.39 ,2021
MORPHINE INJECTION 20MG/ML 5ML 5 VIAL,5, $20.39 , $50.99 , $63.73 , $74.57 ,2021
MOTILIUM 10MG 30TAB,30, $1.23 , $3.08 , $4.23 , $4.94 ,2021
MOVIPREP 4 SACHETS,4, $6.53 , $16.33 , $21.96 , $25.69 ,2021
MOXYPEN FTE 250MG 100ML,100, $1.89 , $4.72 , $6.47 , $7.57 ,2021
MOXYPEN FTE 250MG 60ML,60, $1.15 , $2.88 , $3.95 , $4.62 ,2021
MOXYPEN FTE 500MG 10CAPS,10, $1.15 , $2.88 , $3.95 , $4.62 ,2021
MOXYPEN FTE 500MG 20CAPS,20, $2.27 , $5.67 , $7.76 , $9.08 ,2021
MOXYVIT 250MG 10CAP,10, $0.63 , $1.58 , $2.16 , $2.53 ,2021
MOXYVIT FORTE 10 CAPS,10, $1.15 , $2.88 , $3.95 , $4.62 ,2021
MOXYVIT FORTE 20 CAPS,20, $2.27 , $5.67 , $7.76 , $9.08 ,2021
MOXYVIT FORTE 250 SUSPENSION 100 ML,100, $1.89 , $4.72 , $6.47 , $7.57 ,2021
MOXYVIT SUSP 60ML,60, $1.02 , $2.56 , $3.50 , $4.10 ,2021
MOZOBIL 20MG/ML SOL FOR INJ 24MG/1.2ML,1," $2,564.89 "," $6,412.23 "," $7,053.45 "," $8,252.54 ",2021
MULTAQ 400MG  60 F.C. TABLETS,60, $31.55 , $78.88 , $92.69 , $108.44 ,2021
MUPIROCIN 2% OINT 15GR,15, $2.28 , $5.70 , $7.81 , $9.14 ,2021
MYCAMINE 100 MG VIAL,1, $176.31 , $440.78 , $517.92 , $605.96 ,2021
MYCAMINE 50 MG VIAL,1, $95.34 , $238.35 , $280.06 , $327.67 ,2021
MYCOBUTIN 150MG 30CAP,30, $36.02 , $90.06 , $105.82 , $123.81 ,2021
MYCOPHENOLATE TEVA 500 MG 50 TAB,50, $28.73 , $71.82 , $84.38 , $98.73 ,2021
MYDRAMIDE DROPS 10CC,10, $1.30 , $3.25 , $4.45 , $5.21 ,2021
MYFORTIC 180MG 120TAB,120, $39.69 , $99.23 , $116.59 , $136.41 ,2021
MYFORTIC 360MG 120TAB,120, $77.83 , $194.58 , $228.63 , $267.50 ,2021
MYLERAN 2MG 100TAB,100, $114.47 , $286.18 , $336.26 , $393.42 ,2021
MYLOTARG 5MG/VIAL,1," $3,457.16 "," $8,642.90 "," $9,507.19 "," $11,123.41 ",2021
MYOZYME 50MG/VIAL,1, $216.80 , $542.01 , $636.86 , $745.12 ,2021
NABUCO  500MG 20TAB,20, $1.71 , $4.29 , $5.87 , $6.87 ,2021
NAFLOXIN 3MG 5ML,5, $1.62 , $4.06 , $5.56 , $6.50 ,2021
NAGLAZYME 1MG/ML VIAL 5ML,1, $676.84 ," $1,692.10 "," $1,861.31 "," $2,177.74 ",2021
NARAMIG TABLETS 2.5 MG 2 tab,2, $1.68 , $4.20 , $5.75 , $6.72 ,2021
NAROPIN 10 MG/ML 5AMP 10ML,5, $19.05 , $47.62 , $59.52 , $69.64 ,2021
NAROPIN 2 MG/ML 5AMP 10ML,5, $9.03 , $22.58 , $30.37 , $35.53 ,2021
NASOCORT AQUA 64 MCG/DOSE 120 DOSES NASAL SPRAY,120, $2.59 , $6.48 , $8.88 , $10.39 ,2021
NATPARA 100 MCG 2CARTRIDGES,2," $2,807.60 "," $7,019.01 "," $7,720.91 "," $9,033.46 ",2021
NATPARA 25 MCG 2CARTRIDGES,2," $2,807.60 "," $7,019.01 "," $7,720.91 "," $9,033.46 ",2021
NATPARA 50 MCG 2CARTRIDGES,2," $2,807.60 "," $7,019.01 "," $7,720.91 "," $9,033.46 ",2021
NATPARA 75 MCG 2CARTRIDGES,2," $2,807.60 "," $7,019.01 "," $7,720.91 "," $9,033.46 ",2021
NAVELBINE 10 MG/ML 10 vials,10, $75.01 , $187.53 , $220.35 , $257.81 ,2021
NAVELBINE 20MG 1CAPSULE,1, $23.25 , $58.11 , $72.64 , $84.99 ,2021
NAVELBINE 30MG 1CAPSULE,1, $38.22 , $95.54 , $112.26 , $131.35 ,2021
NAVELBINE 50MG/5ML 10 vials,10, $361.49 , $903.73 , $994.10 ," $1,163.10 ",2021
NAXYN 500MG 30TAB,30, $2.16 , $5.40 , $7.40 , $8.66 ,2021
NEBIDO 1000MG/4ML 1VIAL (250 MG/ML IM VIAL4ML),1, $43.99 , $109.97 , $129.21 , $151.17 ,2021
NEMDATINE 10 MG 10 MG 56 TAB,56, $9.28 , $23.21 , $31.22 , $36.53 ,2021
NEOBLOC 100MG 30TAB,30, $1.24 , $3.10 , $4.25 , $4.97 ,2021
NEOMYCINE 500MG 20TAB,20, $4.13 , $10.33 , $14.16 , $16.56 ,2021
NEOSTIGMINE -  HAMELN 2.5 MG/ML 10 AMP,10, $4.11 , $10.28 , $14.08 , $16.48 ,2021
NEOTIGASON 10MG 30CAPS,30, $8.05 , $20.12 , $27.06 , $31.66 ,2021
NEOTIGASON 25MG 30CAPS,30, $17.16 , $42.90 , $53.62 , $62.74 ,2021
NERIDERM CREAM 30G,30, $1.93 , $4.83 , $6.62 , $7.74 ,2021
NERIDERM OINT 30G,30, $1.93 , $4.83 , $6.62 , $7.74 ,2021
NEULASTIM 6MG/0.6ML PRE-FILED SYR,1, $254.18 , $635.46 , $699.01 , $817.84 ,2021
NEULEPTIL DROPS 4% 30ML,30, $2.52 , $6.30 , $8.62 , $10.09 ,2021
NEUPOGEN 1 PREFIL.SYR. 30MU/0.5ML,1, $14.87 , $37.17 , $46.47 , $54.37 ,2021
NEUPOGEN 1 PREFIL.SYR. 48MU/0.5ML,1, $22.41 , $56.02 , $70.03 , $81.93 ,2021
NEUPOGEN 5VIAL 30MU./1ML,5, $119.21 , $298.03 , $350.19 , $409.72 ,2021
NEURONTIN 300MG 100CAPS,100, $8.36 , $20.89 , $28.10 , $32.88 ,2021
NEURONTIN 400MG 100CAPS,100, $10.35 , $25.88 , $34.80 , $40.72 ,2021
NEVANAC 0.1% OPHTALMIC SUSP. 5ML,5, $6.87 , $17.18 , $23.11 , $27.04 ,2021
NEXAVAR 200MG 4X28 TAB,112," $1,445.12 "," $3,612.79 "," $3,974.07 "," $4,649.66 ",2021
NEXIUM 20MG 28TAB,28, $2.16 , $5.40 , $7.40 , $8.65 ,2021
NEXIUM 40MG 28TAB,28, $3.30 , $8.26 , $11.31 , $13.23 ,2021
NEXIUM 40MG/DOSE 10 VIALS,10, $22.68 , $56.69 , $70.87 , $82.92 ,2021
NEXOBRID 2 G POWDER AND 20 G GEL 1 VIAL,1, $94.61 , $236.52 , $277.91 , $325.15 ,2021
NEXOBRID 5 G POWDER AND 50 G GEL 1 VIAL,1, $236.51 , $591.29 , $650.41 , $760.98 ,2021
NIFEDILONG 30MG 30SRTAB,30, $2.75 , $6.89 , $9.43 , $11.04 ,2021
NIFEDILONG 60MG 30SRTAB,30, $4.66 , $11.66 , $15.97 , $18.68 ,2021
NIMENRIX 1X0.5ML VIAL POWDER+PRE FILLED SYR SOLVENT,1, $17.10 , $42.74 , $53.43 , $62.51 ,2021
NINLARO 2.3 MG 3CAPS,3," $2,102.85 "," $5,257.13 "," $5,782.84 "," $6,765.92 ",2021
NINLARO 3 MG 3CAPS,3," $2,101.70 "," $5,254.24 "," $5,779.67 "," $6,762.21 ",2021
NINLARO 4 MG 3CAPS,3," $2,101.31 "," $5,253.27 "," $5,778.60 "," $6,760.96 ",2021
NITRODERM TTS 10MG/24H 10PATCHES,10, $1.44 , $3.60 , $4.93 , $5.77 ,2021
NITRODERM TTS 5 MG/24H 10PATCHES,10, $1.12 , $2.79 , $3.82 , $4.47 ,2021
NITROLINGUAL SPRAY 250DOSES,250, $2.21 , $5.52 , $7.56 , $8.84 ,2021
NITYR ( NITISINONE) 10 MG 60TAB,60, $924.20 ," $2,310.51 "," $2,541.56 "," $2,973.63 ",2021
NITYR ( NITISINONE) 2 MG 60TAB,60, $252.88 , $632.20 , $695.43 , $813.65 ,2021
NITYR ( NITISINONE) 5 MG 60TAB,60, $508.45 ," $1,271.12 "," $1,398.23 "," $1,635.93 ",2021
NIZORAL CREAM 15GR,15, $1.03 , $2.59 , $3.54 , $4.15 ,2021
NIZORAL SHAMPO 100ML,100, $3.58 , $8.96 , $12.28 , $14.36 ,2021
NOCDURNA 25MCG 10 SUBLINGUAL TAB,10, $4.46 , $11.15 , $15.27 , $17.87 ,2021
NOCDURNA 50MCG 10 SUBLINGUAL TAB,10, $5.03 , $12.58 , $16.92 , $19.79 ,2021
NOCTURNO 7.5MG 20TAB,20, $1.62 , $4.06 , $5.56 , $6.51 ,2021
NOCTURNO LS 3.75MG 20TAB,20, $1.51 , $3.78 , $5.18 , $6.06 ,2021
NORADRENALINE SINTETICA 4MG/4ML  10 AMP,10, $17.31 , $43.28 , $54.10 , $63.30 ,2021
NORDITROPIN 10 MG/1.5ML NORDIFLEX,1, $134.06 , $335.14 , $393.79 , $460.73 ,2021
NORDITROPIN 15 MG/1.5 ML NORDIFLEX,1, $211.00 , $527.51 , $619.82 , $725.19 ,2021
NORDITROPIN SIMPLEXx 10MG CART 1X1.5ML,1, $87.03 , $217.58 , $255.66 , $299.12 ,2021
NORDITROPIN SIMPLEXx 15MG CART 1X1.5ML,1, $152.16 , $380.39 , $446.96 , $522.95 ,2021
NORLIP 200MG 60TAB,60, $2.44 , $6.09 , $8.35 , $9.77 ,2021
NORMALOL 100MG 30TAB,30, $1.53 , $3.84 , $5.26 , $6.15 ,2021
NORMALOL 25MG 30TAB,30, $0.97 , $2.42 , $3.32 , $3.88 ,2021
NORMALOL 50MG 30TAB,30, $1.10 , $2.75 , $3.77 , $4.41 ,2021
NORMITEN 100MG 30TAB,30, $1.53 , $3.84 , $5.26 , $6.15 ,2021
NORMITEN 25MG 30TAB,30, $0.97 , $2.42 , $3.32 , $3.88 ,2021
NORMITEN 50MG 30TAB,30, $1.10 , $2.75 , $3.77 , $4.41 ,2021
NORMOPRESAN 30TAB,30, $1.32 , $3.29 , $4.51 , $5.27 ,2021
NORTYLIN 25MG 30TAB,30, $1.54 , $3.84 , $5.26 , $6.15 ,2021
NORVASC 10 MG 30 TABLETS,30, $1.50 , $3.75 , $5.14 , $6.01 ,2021
NORVASC 5MG 30TAB,30, $1.11 , $2.79 , $3.82 , $4.47 ,2021
NORVIR 100MG 30 F.C.TAB,30, $7.33 , $18.32 , $24.64 , $28.83 ,2021
NOVOEIGHT 1000 IU/4ML 1VIAL,1, $253.55 , $633.87 , $697.26 , $815.80 ,2021
NOVOEIGHT 250 IU/4 ML 1 VIAL,1, $64.64 , $161.59 , $189.87 , $222.15 ,2021
NOVOEIGHT 500 IU/4ML 1 VIAL,1, $122.81 , $307.02 , $360.75 , $422.08 ,2021
NOVOFEM 28TAB,28, $3.22 , $8.04 , $11.02 , $12.90 ,2021
NOVOMIX 30 FLEXPEN 5X3ML,15, $16.07 , $40.18 , $50.22 , $58.76 ,2021
NOVOMIX 50 FLEXPEN 5X3ML,15, $16.01 , $40.01 , $50.02 , $58.52 ,2021
NOVOMIX 70 FLEXPEN 5X3ML,15, $16.01 , $40.01 , $50.02 , $58.52 ,2021
NOVONORM 0.5MG 90TAB,90, $2.29 , $5.71 , $7.83 , $9.16 ,2021
NOVONORM 1MG 90TAB,90, $2.57 , $6.43 , $8.81 , $10.31 ,2021
NOVONORM 2MG 90TAB,90, $4.46 , $11.14 , $15.27 , $17.86 ,2021
NOVORAPID FLEXPEN 5X3MLX100IU/ML,15, $14.22 , $35.56 , $44.45 , $52.00 ,2021
NOVORAPID PENFILL 5X3MLX100IU/ML,15, $12.88 , $32.19 , $40.24 , $47.08 ,2021
NOVORAPID VIAL 10MLX100IU/ML,10, $7.51 , $18.78 , $25.26 , $29.55 ,2021
NOVOSEVEN RT 1MG/VIAL,1, $251.69 , $629.22 , $692.14 , $809.81 ,2021
NOVOSEVEN RT 2MG/VIAL,1, $503.37 ," $1,258.43 "," $1,384.28 "," $1,619.61 ",2021
NOVOSEVEN RT 5MG/VIAL,1," $1,258.44 "," $3,146.09 "," $3,460.70 "," $4,049.02 ",2021
NOXAFIL 100 MG GASTRO-RESISTANT 24 TABLETS,24, $219.39 , $548.48 , $603.33 , $705.90 ,2021
NOXAFIL SUSPENSION 40 MG/ML 105ML,105, $213.78 , $534.44 , $627.97 , $734.72 ,2021
NPLATE 250MCG 1VIAL/5ML POWDER FOR SOL FOR INJ,1, $266.28 , $665.70 , $732.27 , $856.75 ,2021
NUCALA 100mg/ml vial,1, $461.53 ," $1,153.82 "," $1,269.20 "," $1,484.97 ",2021
NUVARING 1VAGINAL RING,1, $4.99 , $12.46 , $16.76 , $19.61 ,2021
NYOLOL GEL 0.1% 5GR,5, $1.97 , $4.91 , $6.73 , $7.88 ,2021
NYSTATIN RM SUSP 30ML,30, $1.30 , $3.26 , $4.46 , $5.22 ,2021
OCALIVA 10MG 30 FC tablets,30," $1,276.32 "," $3,190.81 "," $3,509.89 "," $4,106.58 ",2021
OCALIVA 5 MG 30 TAB,30," $1,276.68 "," $3,191.71 "," $3,510.88 "," $4,107.73 ",2021
OCREVUS 300MG/10ML 1VIAL 15ML,1," $2,530.16 "," $6,325.40 "," $6,957.94 "," $8,140.79 ",2021
OCSAAR 50MG 30 TAB,30, $1.96 , $4.91 , $6.72 , $7.87 ,2021
OCSAAR PLUS 30TAB,30, $1.90 , $4.75 , $6.51 , $7.62 ,2021
OCTAGAM 5% 100ML VIAL,100, $148.52 , $371.30 , $436.28 , $510.44 ,2021
OCTAGAM 5% 200ML VIAL,200, $297.04 , $742.60 , $816.86 , $955.72 ,2021
OCTAGAM 5% 50ML VIAL,50, $74.26 , $185.65 , $218.14 , $255.22 ,2021
OCTANATE 1000 1 VIAL,1, $253.55 , $633.87 , $697.26 , $815.80 ,2021
OCTANATE 500 VIAL,1, $122.81 , $307.02 , $360.75 , $422.08 ,2021
OCTANINE F 1000 IU VIAL,1, $232.52 , $581.30 , $639.43 , $748.14 ,2021
OCTANINE F 500 IU VIAL,1, $93.82 , $234.55 , $275.60 , $322.45 ,2021
OCTOSTIM 15MCG/ML 10AMP (1ML),10, $119.76 , $299.41 , $351.81 , $411.61 ,2021
ODNATRON  8MG/4ML 5 amp,5, $18.30 , $45.76 , $57.19 , $66.92 ,2021
ODNATRON 4MG/2ML 5 amp,5, $10.17 , $25.44 , $34.21 , $40.03 ,2021
ODOMZO  200 MG 30 CAPS,30," $2,330.64 "," $5,826.61 "," $6,409.27 "," $7,498.84 ",2021
OESTROGEL 80G,80, $1.26 , $3.16 , $4.33 , $5.06 ,2021
OFEV 100MG 60CAPS,60, $735.23 ," $1,838.07 "," $2,021.87 "," $2,365.59 ",2021
OFEV 150MG 60CAPS,60," $1,019.46 "," $2,548.66 "," $2,803.53 "," $3,280.13 ",2021
"OFLO-AVENIR  0.30%, OPHTHALMIC SOL 10ML",10, $1.55 , $3.89 , $5.32 , $6.23 ,2021
OFLODEX 200MG 20TAB,20, $5.29 , $13.23 , $17.79 , $20.82 ,2021
OFLOX DROPS 0.3% 5ML,5, $0.78 , $1.94 , $2.66 , $3.11 ,2021
OFLOXACINA 2MG/ML (100ML),1, $9.63 , $24.07 , $32.37 , $37.88 ,2021
OFLOXACIN-TEVA 200MG 20TAB,20, $5.29 , $13.23 , $17.79 , $20.82 ,2021
OGIVRI 420 MG VIAL,1, $491.15 ," $1,227.88 "," $1,350.67 "," $1,580.28 ",2021
OLANZAPINE  TEVA 10MG 28 F.C.TAB,28, $12.06 , $30.14 , $37.67 , $44.08 ,2021
OLANZAPINE ODT TEVA ® 10 MG NEW FORMULATION 28 TAB,28, $10.41 , $26.03 , $35.01 , $40.96 ,2021
OLANZAPINE ODT TEVA ® 5 MG NEW FORMULATION 28 TAB,28, $7.03 , $17.57 , $23.63 , $27.64 ,2021
OLANZAPINE TEVA 5MG 28 F.C.TAB,28, $6.87 , $17.17 , $23.09 , $27.01 ,2021
OLANZAPINE TEVA 7.5MG 56 F.C.TAB,56, $19.89 , $49.72 , $62.15 , $72.72 ,2021
OLOPATADINE S.K. 1 MG/ 1 ML 1 VIAL 5 ML,5, $2.67 , $6.68 , $9.15 , $10.71 ,2021
OLUMIANT 2 MG 28 TAB,28, $357.41 , $893.51 , $982.86 ," $1,149.95 ",2021
OLUMIANT 4 MG 28 TAB,28, $357.41 , $893.51 , $982.86 ," $1,149.95 ",2021
OMACOR 28 CAPSULES,28, $5.29 , $13.23 , $17.79 , $20.82 ,2021
OMEGAVEN 10*100ml,10, $258.67 , $646.67 , $711.34 , $832.27 ,2021
OMEPRA 20MG 28 CAPSULES,28, $3.12 , $7.81 , $10.70 , $12.52 ,2021
OMEPRA 40MG 28 CAPSULES,28, $4.07 , $10.17 , $13.93 , $16.30 ,2021
